video_id	title	url	channel_name	upload_date	duration_seconds	view_count	like_count	description
aUIiI0OJf2Q	More Wind and Solar = Higher Prices ? The Data Is Clear	https://www.youtube.com/watch?v=aUIiI0OJf2Q	Promethean Action Science	20260328	56	192	30	Sign up for our FREE newsletters: https://prom.ac/sci   California is now paying nearly double the national average for electricity. Germany's prices rose over 50% as wind and solar scaled up. Across 30+ European countries over nearly two decades; the data tells the same story: more wind and solar means higher prices. No exceptions. We walk through the real-world data and explain why the physics guarantee this outcome.  Full video: https://www.youtube.com/watch?v=0Htfj_OvcK0  Contact ? Science@PrometheanAction.com  X ? https://x.com/Ben_Deniston
0Htfj_OvcK0	Iran Oil Shock & Green Energy Lies	https://www.youtube.com/watch?v=0Htfj_OvcK0	Promethean Action Science	20260327	867	4068	756	Sign up for our FREE newsletters: https://prom.ac/sci   The Iran conflict has green energy propagandists salivating?pushing claims that wind and solar are now the cheapest electricity and the answer to energy security. The data says otherwise.  In this episode; Ben Deniston of Promethean Action cuts through the coordinated green messaging with hard evidence: real-world data from California and 30+ European countries showing electricity prices rise as wind and solar scale up. He exposes the "levelized cost of electricity" as a deliberate accounting trick that hides the massive overhead costs of intermittency?backup generation; storage; transmission; curtailment; and grid balancing. When those costs are included; 100% wind or solar in Texas costs 6 to 10 times more than natural gas.  But cost is only half the problem. Wind and solar are fundamentally low power density?requiring 10 to 25x the materials of reliable systems for the same energy output. And that's not a solvable engineering problem?it's the physics.  The episode closes with the deeper principle: increasing power density isn't just good economics?it's a universal law of progress; from the first ocean predators 530 million years ago to the nuclear frontier ahead. Green energy doesn't just raise costs?it pushes civilization against the current of natural law.  Contact ? Science@PrometheanAction.com  X ? https://x.com/Ben_Deniston   00:00 Iran Crisis Green Spin 01:41 Coordinated Renewables Push 02:54 Prices Rise With Renewables 03:38 Europe Scatter Plot Evidence 04:59 The LCOE Accounting Trick 07:04 Full System Cost Reality 08:00 Intermittency Threshold Effects 08:24 Low Power Density Limits 09:16 Materials and Land Explosion 10:25 Power Density as Natural Law 11:33 Ocean Evolution Power Density Tour 13:08 Final Takeaways and Call  Sources and transcript available to paid subscribers. Sign up at https://prom.ac/sci
6bCAfUv1qnY	Trump's Peace Plan: Middle East Unites Against Iran #shorts	https://www.youtube.com/watch?v=6bCAfUv1qnY	Promethean Updates	20260326	96	81065	9680	Watch the full show and Get our FREE Newsletter at https://www.PrometheanAction.com. The Abraham Accords are accelerating; isolating Iran and its proxies. Saudi Arabia; Egypt; Turkey; and Gulf States unite; while Hamas considers disarmament. Genuine peace through economic development emerges. #MiddleEastPeace #AbrahamAccords #Geopolitics #EconomicDevelopment #Iran
UkFJf97cgrE	?? EXPOSED: Trump Didn't Blink ? The New Alliance Britain Can't Stop | Live Q&A	https://www.youtube.com/watch?v=UkFJf97cgrE	Promethean Updates	20260326	7561	171465	14599	Get our FREE Newsletter at https://www.PrometheanAction.com ? Join us for a live broadcast; with your hosts Barbara Boyd; Susan Kokinda and Adam Sturman. Thursday March 26th at 11am Eastern; 8am Pacific every Thursday. We take your questions from both the Youtube live chat and our Newsletter Subscribers!  Last week; we told you NATO was finished. We told you Trump was breaking the British imperial alliance structure on purpose. We told you the Strait of Hormuz crisis wasn't about oil prices ? it was about who controls the global economy. And in the last 72 hours; every single one of those predictions accelerated.  ???? America 250 Merch drop; featuring Benjamin Franklin; George Washington and Alexander Hamilton: https://shop.prometheanaction.com/collections/america-250-founding-fathers-collection-17762026  ?? Promethean PAC NEW Midterm Flyer: https://prom.ac/fl2  ???? E BOOK - IT'S THE BRITISH WHO MURDER OUR PRESIDENTS https://www.prometheanaction.com/it-is-the-british-who-murder-our-presidents/  ?? *Make a one-time donation to Promethean Action* https://donate.prometheanaction.com/donate_social_otm?recruiter_id=139893  ?? *Make a one-time donation to Promethean PAC* https://www.prometheanpac.com/donate_social_otm?recruiter_id=139893
#NAME?	Trump's Bombshell Iran Deal: A HUGE Present! #shorts	https://www.youtube.com/watch?v=-gj6nchaDEk	Promethean Updates	20260325	62	83656	8824	Watch the full show and Get our FREE Newsletter at https://www.PrometheanAction.com. President Trump reveals a "massive present" from Iran; signaling a significant breakthrough. While key allies are sidelined; negotiations with Iran and regional powers move forward. #Trump #IranDeal #Geopolitics #MiddleEast #ForeignPolicy
mAIqEZsFhJ8	This Gov. Agency Deployed $1 Trillion; Created New Industries; and Made Money	https://www.youtube.com/watch?v=mAIqEZsFhJ8	Promethean Action Science	20260325	64	887	121	Sign up for our FREE newsletters: https://prom.ac/sci   Contact ? Science@PrometheanAction.com  X ? https://x.com/Ben_Deniston   FDR's Reconstruction Finance Corporation was the largest lending institution in the world. It deployed roughly a trillion dollars in today's money; made loans no private bank would touch; and created entirely new industries ? synthetic rubber from scratch when Japan cut off supplies; magnesium scaled from lab experiments to national capacity; and rival aluminum producers to break a monopoly stranglehold. When the RFC was wound down in 1957; nearly all its loans had been repaid and its core operations returned a profit to the US Treasury. That's Hamilton's principle proven at scale ? and it's the model behind the Trump Administration's critical minerals financing.  Full video: https://youtu.be/IqNHdC9USis
rfZ7mCtexHo	IT'S OVER: Trump and Iran Just Shut Out the UK and NATO	https://www.youtube.com/watch?v=rfZ7mCtexHo	Promethean Updates	20260325	680	332213	45817	Get our FREE Newsletter at https://www.PrometheanAction.com ? Susan Kokinda argues President Trump has opened a new diplomatic space to de-escalate the Iran conflict by working through a regional roster?Saudi Arabia; Egypt; Turkey; Pakistan; Gulf States; and back channels into Iran?while the U.K.; EU; and NATO are absent and increasingly irrelevant. Citing reporting that ministers met in Riyadh and that Egypt; Turkey; and Oman carried messages; she says this ?Board of Peace? architecture is isolating Iran and weakening its proxies; pointing to Lebanon?s move against Hezbollah; the Palestinian Authority?s condemnation of Iran; and Hamas considering disarmament. Kokinda links Europe?s exclusion to self-inflicted energy weakness from Green and anti-Russia policies; noting rushed LNG moves and a delayed Russian oil ban vote. She concludes Ukraine?s outlook darkens as Europe and Britain lack leverage; highlighting Zelenskyy?s scramble for support in London and Washington.  ???? America 250 Merch drop; featuring Benjamin Franklin; George Washington and Alexander Hamilton: https://shop.prometheanaction.com/collections/america-250-founding-fathers-collection-17762026  ?? ALL PAID subscribers get access to all the citations; links and resources used to write this script https://www.prometheanaction.com/#/portal/account/plans  ?? *Make a one-time donation to Promethean Action* https://donate.prometheanaction.com/donate_social_otm?recruiter_id=139893  00:00 The Midweek Update -  IT'S OVER: Trump and Iran Just Shut Out the UK and NATO - March 25; 2026 02:09 The New Table ? And Who's Sitting At It 05:40 No Oil. No Gas. No Seat. 08:23 The Proxy War Loses Its Sponsor
DcAGNouDnXo	London's Economic Crisis: Starmer's Global Joke #shorts	https://www.youtube.com/watch?v=DcAGNouDnXo	Promethean Updates	20260324	60	66872	6775	Watch the full show and Get our FREE Newsletter at https://www.PrometheanAction.com. London declared an economic emergency as soaring energy costs and capital flight to the US threaten the British Empire. Gulf states are investing trillions in America; leaving Starmer's government in a precarious position. #EconomicEmergency #UKPolitics #GlobalFinance #EnergyCrisis
Hy3QzsrRiP8	Trump's Economic Warfare: Breaking London's Energy Grip! #shorts	https://www.youtube.com/watch?v=Hy3QzsrRiP8	Promethean Updates	20260324	106	42690	6518	Watch the full show and Get our FREE Newsletter at https://www.PrometheanAction.com. Armchair generals miss the Middle East's economic core. Trump's energy independence play targets London's financial power; forcing Iran to the negotiating table. A deadline extended; a globalist crisis ignited. #Trump #MiddleEast #EnergyPolicy #GlobalEconomics #Geopolitics
ppcfTffSLVk	Belgium PM's Shock EU Break: Russia & Ukraine Deal? #shorts	https://www.youtube.com/watch?v=ppcfTffSLVk	Promethean Updates	20260324	67	68686	8852	Watch the full show and Get our FREE Newsletter at https://www.PrometheanAction.com. Belgium's Prime Minister Bart De Wever openly questions the EU's stance on Russia; advocating for normalized relations and access to affordable energy. He suggests a deal with Putin may be the only remaining option; highlighting cracks in the post-war global order. #Geopolitics #EU #Russia #Ukraine #EnergyPolicy
